"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"CB2","CB2-SP","48.505855","32.221305","CB2","CB2-PB","48.505855","32.221305","0.375","0.625"
"CM","CM-PB","48.555928","32.224015","AK","AK-JPA","47.32492222","32.55781389","0.5","0.5"
"CM","CM-PB","48.555928","32.224015","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"CM","CM-PB","48.555928","32.224015","AT","AT-PA","44.75538889","38.21327778","0.727272727272727","0.272727272727273"
"CM","CM-PB","48.555928","32.224015","B","B-B","54.40972222","28.64277778","0.571428571428572","0.428571428571428"
"CM","CM-PB","48.555928","32.224015","BC","BC-D","53.332575","36.7631","0.166666666666667","0.833333333333333"
"CM","CM-PB","48.555928","32.224015","CA","CA-PABW","51.445895","35.60760056","0.5","0.5"
"CM","CM-PB","48.555928","32.224015","CB1","CB1-PBW","49.9787","35.7806","0.2","0.8"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-BBP","48.505855","32.221305","0","1"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-BCP","48.505855","32.221305","0","1"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-MCP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-MRP","48.505855","32.221305","0.625","0.375"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-PB","48.505855","32.221305","0.375","0.625"
"CM","CM-PB","48.555928","32.224015","CB2","CB2-SP","48.505855","32.221305","0.571428571428572","0.428571428571428"
"CM","CM-RB","48.555928","32.224015","AK","AK-JPA","47.32492222","32.55781389","0.625","0.375"
"CM","CM-RB","48.555928","32.224015","AR","AR-SW","53.40545556","29.86275833","0.666666666666667","0.333333333333333"
"CM","CM-RB","48.555928","32.224015","AT","AT-PA","44.75538889","38.21327778","0.555555555555556","0.444444444444444"
"CM","CM-RB","48.555928","32.224015","B","B-B","54.40972222","28.64277778","0.714285714285714","0.285714285714286"
"CM","CM-RB","48.555928","32.224015","BC","BC-D","53.332575","36.7631","0.571428571428572","0.428571428571428"
"CM","CM-RB","48.555928","32.224015","CA","CA-PABW","51.445895","35.60760056","0.625","0.375"
"CM","CM-RB","48.555928","32.224015","CB1","CB1-PBW","49.9787","35.7806","0.666666666666667","0.333333333333333"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-BBP","48.505855","32.221305","0.714285714285714","0.285714285714286"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-BCP","48.505855","32.221305","0.714285714285714","0.285714285714286"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-MCP","48.505855","32.221305","0.5","0.5"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-MRP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-PB","48.505855","32.221305","0.666666666666667","0.333333333333333"
"CM","CM-RB","48.555928","32.224015","CB2","CB2-SP","48.505855","32.221305","0.5","0.5"
"CM","CM-RB","48.555928","32.224015","CM","CM-PB","48.555928","32.224015","0.714285714285714","0.285714285714286"
"CS","CS-BC","47.26","32.62","AK","AK-JPA","47.32492222","32.55781389","0.625","0.375"
"CS","CS-BC","47.26","32.62","AR","AR-SW","53.40545556","29.86275833","0","1"
"CS","CS-BC","47.26","32.62","AT","AT-PA","44.75538889","38.21327778","0.7","0.3"
"CS","CS-BC","47.26","32.62","B","B-B","54.40972222","28.64277778","0.714285714285714","0.285714285714286"
"CS","CS-BC","47.26","32.62","BC","BC-D","53.332575","36.7631","0.333333333333333","0.666666666666667"
