Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfaceVeryLight,SurfaceLight,SurfaceMod,SurfaceDark,SlipVeryLight,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintVeryLight,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
TK1,Tal-e Kutahi,TK1-MW,Mushki Ware,52.50527778,29.58277778,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
TM1,Tal-e Mushki,TM1-BIS,Bichrome Slip,52.96494722,29.81067222,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
TM1,Tal-e Mushki,TM1-BUS,Buff Slipped,52.96494722,29.81067222,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TM1,Tal-e Mushki,TM1-PRS,Red Slipped,52.96494722,29.81067222,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TK2,Tang-e Kiareh,TK-PA,Painted,52.44198611,29.91753611,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TRA,Tepe Rahmat Abad,TRA-FM,Formative Mushki,53.05774722,30.11208333,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TRA,Tepe Rahmat Abad,TRA-RW,Red Ware,53.05774722,30.11208333,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BB,Black on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BR,Black on Red,52.59,30.08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BRB,Black and Red on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
TB2,Tol-e Bashi,TB2-BWB,Black on White Wash,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-RBF,Red on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TB2,Tol-e Bashi,TB2-RR,Red on Red,52.59,30.08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
B,Tol-e Bizdan,B-B,Bizdan,54.40972222,28.64277778,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
TJ2,Tol-e Jalyan,TJ2-J,Jalyan,52.884524,29.944845,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
TM2,Tol-e Mianrud,TM2-KP1,Karami Painted 1,52.67156944,30.17562222,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TM2,Tol-e Mianrud,TM2-KP2,Karami Painted 2,52.67156944,30.17562222,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TNU,Tol-e Nurabad,TNU-PA,Painted,51.52121667,30.1224,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
TNU,Tol-e Nurabad,TNU-PAB,Painted Bichrome,51.52121667,30.1224,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
TQA,Tol-e Qasr-e Ahmad ,TQA-PAB,Painted Buff,52.76638889,29.17416667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TS1,Tol-e Sabz,TS1-BB,Black-on-buff,52.44638889,28.85666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TS1,Tol-e Sabz,TS1-RR,Red-on-red,52.44638889,28.85666667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TS4,Tol-e Sangi,TS4-F,Formative,53.217668,30.233939,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
