Munsell,ISCCNBS,R,G,B,L,a,b
2.5YR 4/4,moderate reddish brown,128.834872,85.74230989,68.3797526,40.72134894,15.68086916,17.371328
2.5YR 4/6,strong brown,139.9355932,80.72488899,54.46449394,40.71196388,22.12252255,25.95200808
2.5YR 4/8,strong brown,149.8382081,75.25280832,38.33695692,40.70058418,28.40021261,35.38431367
2.5YR 5/1,light brownish gray,130.8112078,119.1500957,114.6764338,51.00187678,3.66029767,4.080164426
2.5YR 5/2,light grayish reddish brown,139.1282219,116.8561139,107.8189879,50.99973466,7.160166075,8.214927137
2.5YR 5/3,light reddish brown,146.8636769,114.4525074,100.9066825,50.99676859,10.68775749,12.38279442
2.5YR 5/4,light reddish brown,154.0980964,111.9545304,93.76668029,50.99325735,14.19736013,16.67890188
2.5YR 5/6,grayish reddish orange,167.4701716,106.6160729,78.1319149,50.98484506,21.18715192,25.99750392
2.5YR 5/8,brownish orange,179.228659,100.9443529,61.03524426,50.97438735,27.93939164,35.88083643
2.5YR 6/1,light brownish gray,156.9805008,144.9511125,140.1269602,61.04503785,3.589371346,4.163986845
2.5YR 6/2,light grayish reddish brown,165.6153302,142.6515268,132.9163571,61.04342715,6.992765973,8.359103451
2.5YR 6/3,light reddish brown,173.4368504,140.3580769,125.731247,61.04144109,10.27219306,12.53754754
2.5YR 6/4,light reddish brown,180.7932824,137.9923963,118.4124091,61.03891966,13.54470755,16.7879147
2.5YR 6/6,grayish reddish orange,194.9320585,132.7754729,102.8289932,61.03163439,20.3965634,25.79165885
2.5YR 6/8,moderate orange,206.9876121,127.5380324,87.13752705,61.022909,26.77602477,34.70846693
2.5YR 7/1,pinkish gray,182.5573139,171.1951126,166.4828222,70.85984352,3.239796105,3.884069304
2.5YR 7/2,grayish yellowish pink,191.1155651,168.9943741,159.3783221,70.85867252,6.422892282,7.893397862
2.5YR 7/3,moderate yellowish pink,199.5430754,166.6365764,151.7235775,70.85711533,9.732549067,12.21201389
2.5YR 7/4,moderate yellowish pink,207.6245543,164.1757614,143.7581643,70.85508197,13.08456774,16.70114227
2.5YR 7/6,moderate orange,222.770986,158.9405404,127.2505706,70.849126,19.90203515,25.96904756
2.5YR 7/8,moderate orange,235.6290958,153.7781767,110.9923786,70.84178788,26.21090668,34.98929105
2.5YR 8/1,pinkish gray,207.8027412,197.9374675,193.6117213,80.52643434,2.678053601,3.390380805
2.5YR 8/2,pale yellowish pink,216.051142,195.8968501,186.7443014,80.52578453,5.567084163,7.162385462
2.5YR 8/3,light yellowish pink,226.0879037,193.2079612,177.628298,80.52459877,9.272066604,12.16857533
2.5YR 8/4,light yellowish pink,235.7096257,190.3958861,168.0491858,80.52291591,13.03055135,17.42357633
2.5YR 8/6,light orange,251.0087786,185.3217207,151.7033029,80.51780498,19.57109719,26.36838368
2.5YR 8/8,light orange,255,179.6856539,133.4121463,80.51072142,26.42685098,36.28114431
2.5Y 2.5/1,brownish gray,64.8626029,59.14233946,51.09923996,25.26506228,0.870690191,5.885604886
2.5Y 2.5/2,moderate olive brown,68.91671215,58.4673524,42.15201138,25.27214734,1.712143766,11.83509483
2.5Y 2.5/3,moderate olive brown,72.50201324,57.76041805,32.40850675,25.27763091,2.657815372,18.14198789
2.5Y 2.5/4,moderate olive brown,75.70495122,57.01294018,21.19046606,25.28145055,3.719377905,24.90323867
2.5Y 2.5/6,moderate olive brown,81.50259988,55.26757263,0,25.28403434,6.363932408,38.83796758
2.5Y 2.5/8,moderate olive brown,85.99123629,53.66985482,0,25.28456106,8.718822203,49.49658825
2.5Y 3/1,brownish gray,77.00699376,70.73266726,61.69960769,30.38842234,0.874794845,6.393422714
2.5Y 3/2,moderate olive brown,81.42405416,70.02216335,51.90466743,30.39623769,1.711515659,12.72339939
2.5Y 3/3,moderate olive brown,85.23667421,69.28394471,41.9655953,30.40190958,2.671581451,19.00706625
2.5Y 3/4,moderate olive brown,88.52584978,68.5506201,31.3139326,30.40601798,3.671221252,25.41320283
2.5Y 3/6,moderate olive brown,93.95118289,67.09251395,0.70070888,30.41044335,5.755480614,39.45782827
2.5Y 3/8,moderate olive brown,97.91953943,65.8682489,0,30.41273603,7.49331419,52.69497829
2.5Y 4/1,brownish gray,102.1238107,95.23065901,84.60831178,40.74798529,0.74916943,7.069651083
2.5Y 4/2,moderate olive brown,107.1442536,94.49246771,73.32397894,40.7572934,1.508831437,14.0138495
2.5Y 4/3,moderate olive brown,111.6406051,93.67376235,62.08477602,40.76405068,2.498310293,20.81994789
2.5Y 4/4,moderate olive brown,115.4418679,92.88815907,50.71728561,40.76908175,3.494285921,27.47885152
2.5Y 4/6,moderate olive brown,121.0338012,91.56775628,26.57940446,40.77531459,5.22338945,39.93708321
2.5Y 4/8,moderate olive brown,125.1354919,90.44045381,0,40.77852106,6.74871144,53.13037957
2.5Y 5/1,light brownish gray,127.5513017,120.6987216,109.9849427,51.01521293,0.640204818,6.815262704
