"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"TM1","TM1-BUS","52.96494722","29.81067222","MS20","MS20-CW","51.33611667","30.353","0.2","0.8"
"TM1","TM1-BUS","52.96494722","29.81067222","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.333333333333333","0.666666666666667"
"TM1","TM1-BUS","52.96494722","29.81067222","TK1","TK1-JW","52.50527778","29.58277778","0.2","0.8"
"TM1","TM1-BUS","52.96494722","29.81067222","TK1","TK1-KW","52.50527778","29.58277778","0.5","0.5"
"TM1","TM1-BUS","52.96494722","29.81067222","TK1","TK1-MW","52.50527778","29.58277778","0.666666666666667","0.333333333333333"
"TM1","TM1-BUS","52.96494722","29.81067222","TM1","TM1-BIS","52.96494722","29.81067222","0.5","0.5"
"TM1","TM1-PRS","52.96494722","29.81067222","AR","AR-SW","53.40545556","29.86275833","0.571428571428572","0.428571428571428"
"TM1","TM1-PRS","52.96494722","29.81067222","H","H-PA","53.51537389","30.50747583","0.5","0.5"
"TM1","TM1-PRS","52.96494722","29.81067222","KH","KH-BB","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"TM1","TM1-PRS","52.96494722","29.81067222","KH","KH-BBR","52.06511333","29.88179778","0.5","0.5"
"TM1","TM1-PRS","52.96494722","29.81067222","KH","KH-BRPW","52.06511333","29.88179778","0.625","0.375"
"TM1","TM1-PRS","52.96494722","29.81067222","KH","KH-BW","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"TM1","TM1-PRS","52.96494722","29.81067222","KH","KH-RB","52.06511333","29.88179778","0.75","0.25"
"TM1","TM1-PRS","52.96494722","29.81067222","MS10","MS10-CW","51.32983333","30.35716667","0.375","0.625"
"TM1","TM1-PRS","52.96494722","29.81067222","MS11","MS11-CW","51.33366667","30.35426667","0.375","0.625"
"TM1","TM1-PRS","52.96494722","29.81067222","MS20","MS20-CW","51.33611667","30.353","0.428571428571429","0.571428571428571"
"TM1","TM1-PRS","52.96494722","29.81067222","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.5","0.5"
"TM1","TM1-PRS","52.96494722","29.81067222","TK1","TK1-JW","52.50527778","29.58277778","0.428571428571429","0.571428571428571"
"TM1","TM1-PRS","52.96494722","29.81067222","TK1","TK1-KW","52.50527778","29.58277778","0.777777777777778","0.222222222222222"
"TM1","TM1-PRS","52.96494722","29.81067222","TK1","TK1-MW","52.50527778","29.58277778","0.571428571428572","0.428571428571428"
"TM1","TM1-PRS","52.96494722","29.81067222","TM1","TM1-BIS","52.96494722","29.81067222","0.25","0.75"
"TM1","TM1-PRS","52.96494722","29.81067222","TM1","TM1-BUS","52.96494722","29.81067222","0.571428571428572","0.428571428571428"
"TK2","TK-PA","52.44198611","29.91753611","AR","AR-SW","53.40545556","29.86275833","0.4","0.6"
"TK2","TK-PA","52.44198611","29.91753611","H","H-PA","53.51537389","30.50747583","0.571428571428572","0.428571428571428"
"TK2","TK-PA","52.44198611","29.91753611","KH","KH-BB","52.06511333","29.88179778","0.4","0.6"
"TK2","TK-PA","52.44198611","29.91753611","KH","KH-BBR","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TK2","TK-PA","52.44198611","29.91753611","KH","KH-BRPW","52.06511333","29.88179778","0.714285714285714","0.285714285714286"
"TK2","TK-PA","52.44198611","29.91753611","KH","KH-BW","52.06511333","29.88179778","0.4","0.6"
