Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfacePale,SurfaceLight,SurfaceMod,SurfaceDark,SlipPale,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintPale,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
CB2,Chogha Bonut,CB2-MRP,Maroon-on-red Painted,48.505855,32.221305,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
CB2,Chogha Bonut,CB2-OBP,Orange Buff Plain,48.505855,32.221305,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CB2,Chogha Bonut,CB2-PB,Painted-burnished,48.505855,32.221305,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
CB2,Chogha Bonut,CB2-RS,Red-Slipped,48.505855,32.221305,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
CB2,Chogha Bonut,CB2-SP,Smear-painted,48.505855,32.221305,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
CB2,Chogha Bonut,CB2-ST,Straw-tempered,48.505855,32.221305,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CM,Chogha Mish,CM-C,Coarse,48.555928,32.224015,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CM,Chogha Mish,CM-FRW,Fine Red Washed,48.555928,32.224015,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
CM,Chogha Mish,CM-PB,Painted-Burnished,48.555928,32.224015,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
CM,Chogha Mish,CM-RB,Red Banded,48.555928,32.224015,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
CM,Chogha Mish,CM-S,Smoothed,48.555928,32.224015,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CM,Chogha Mish,CM-SRW,Standard Red Washed,48.555928,32.224015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CS,Chagha Sefid,CS-BC,Sefid Black-on-Cream,47.26,32.62,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CS,Chagha Sefid,CS-BR,Sefid Black-on-Red,47.26,32.62,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
CS,Chagha Sefid,CS-BU,Sefid Burnished,47.26,32.62,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CS,Chagha Sefid,CS-JPA,Jaffar Painted,47.26,32.62,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
CS,Chagha Sefid,CS-JPL,Jaffar Plain,47.26,32.62,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
CS,Chagha Sefid,CS-KR,Khazineh Red,47.26,32.62,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CS,Chagha Sefid,CS-SRC,Sefid Red-on-Cream,47.26,32.62,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
DKT,Deh Kheir Tepe,DKT-PA,Painted,54.98194444,36.53555556,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
DKT,Deh Kheir Tepe,DKT-PL,Plain,54.98194444,36.53555556,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
H,Hormangan,H-PA,Painted,53.51537389,36.99444444,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
HC,Hotu Cave,HC-CA,Cheshmeh Ali,53.332575,36.7631,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
HC,Hotu Cave,HC-CN,Caspian Neolithic,53.332575,36.7631,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
HC,Hotu Cave,HC-D,Djeitun,53.332575,36.7631,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
HC,Hotu Cave,HC-T1,Thornton Type 1,53.332575,36.7631,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
HC,Hotu Cave,HC-T2,Thornton Type 2,53.332575,36.7631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF,Hajji Firuz,HF-24k,"Pl 24k,l",45.47444444,36.99444444,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
HF,Hajji Firuz,HF-B,Burnished,45.47444444,36.99444444,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
HF,Hajji Firuz,HF-P,Painted,45.47444444,36.99444444,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
HF,Hajji Firuz,HF-RW,Red-Washed,45.47444444,36.99444444,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
KH,Kushk-e Hezar,KH-BB,Black on Buff,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
KH,Kushk-e Hezar,KH-BBR,Black on Buff with Red Slip,52.06511333,29.88179778,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
KH,Kushk-e Hezar,KH-BRPW,Burnished Red Painted Ware,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
KH,Kushk-e Hezar,KH-BW,Black on White,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
KH,Kushk-e Hezar,KH-MRS,Matte Red Slip,52.06511333,29.88179778,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KH,Kushk-e Hezar,KH-RB,Red on Buff,52.06511333,29.88179778,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
KK,Khalateh Khan,KK-PACW,Painted Chakhmaq Ware,54.86611111,36.3,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
KK,Khalateh Khan,KK-PLCW,Plain Chakhmaq Ware,54.86611111,36.3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
